Rank,Journal Name,Singular Value Score,Citation Count,Scholarly Output,SJR,SNIP,CiteScore,Percentile,Percent Cited,
32,Proceedings of SPIE - The International Society for Optical Engineering,3.7150043926E-08,17346,40879,0.228,0.384,0.42,20,24,
33,Proceedings of SPIE - The International Society for Optical Engineering,3.72540917073E-08,17346,40879,0.228,0.384,0.42,27,24,
34,ACS Nano,4.88628574049E-08,53568,3923,6.916,2.65,13.65,98,97,
35,ACS Nano,4.88849066551E-08,53568,3923,6.916,2.65,13.65,99,97,
36,Astrophysical Journal,5.27620279349E-08,46510,8836,2.863,1.388,5.26,89,87,
37,Astrophysical Journal,5.27903290366E-08,46510,8836,2.863,1.388,5.26,90,87,
38,Journal of Physical Chemistry C,5.91601850922E-08,44398,9909,1.948,1.181,4.48,90,88,
39,Journal of Physical Chemistry C,5.92005953612E-08,44398,9909,1.948,1.181,4.48,91,88,
40,Journal of Physical Chemistry C,5.93181603737E-08,44398,9909,1.948,1.181,4.48,94,88,
41,Advanced Materials,6.08018469683E-08,51172,2877,8.364,3.347,17.79,98,96,
42,Advanced Materials,6.08251050298E-08,51172,2877,8.364,3.347,17.79,99,96,
43,Applied Physics Letters,7.54565980618E-08,37623,14076,1.132,0.996,2.67,91,75,
44,Nano Letters,7.66780050845E-08,45698,3411,7.983,2.881,13.4,98,96,
45,Nano Letters,7.66976813011E-08,45698,3411,7.983,2.881,13.4,99,96,
46,Nanoscale,8.16280722302E-08,42131,5646,2.769,1.459,7.46,95,94,
47,Journal of Biological Chemistry,0.000000083,38440,9229,2.755,1.125,4.17,78,88,
48,Journal of Biological Chemistry,0.000000083,38440,9229,2.755,1.125,4.17,79,88,
49,Journal of Biological Chemistry,8.3417308968E-08,38440,9229,2.755,1.125,4.17,87,88,
50,The Lancet,8.8543301925E-08,40789,5886,12.467,13.698,6.93,99,43,
51,Physical Review D,8.93813153779E-08,35266,10344,1.79,3.889,3.41,96,78,
52,Chemical Society Reviews,9.73344774709E-08,43909,1230,14.994,7.676,35.7,99,98,
53,Optics Express,9.74731356087E-08,34914,10023,1.487,1.589,3.48,89,81,
54,Nucleic Acids Research,9.76870003544E-08,40958,4415,7.397,2.657,9.28,97,91,
55,Cell,9.81250852382E-08,42951,1885,26.947,4.959,22.79,99,83,
56,Physical Chemistry Chemical Physics,9.85974550369E-08,35553,8751,1.678,1.117,4.06,86,85,
57,Physical Chemistry Chemical Physics,9.86483853973E-08,35553,8751,1.678,1.117,4.06,94,85,
58,Journal of Power Sources,1.09772788425E-07,36338,5844,1.945,1.483,6.22,93,93,
59,Journal of Power Sources,1.09856636602E-07,36338,5844,1.945,1.483,6.22,95,93,
60,Journal of Power Sources,1.09899648628E-07,36338,5844,1.945,1.483,6.22,96,93,
61,Journal of Power Sources,1.09936972024E-07,36338,5844,1.945,1.483,6.22,97,93,
62,Environmental Science & Technology,1.12086616806E-07,34141,5450,2.538,1.889,6.26,92,90,
63,Environmental Science & Technology,1.12102052885E-07,34141,5450,2.538,1.889,6.26,95,90,
64,Chemistry - A European Journal,1.21106640777E-07,32871,6529,2.247,1.046,5.03,92,91,
65,Monthly Notices of the Royal Astronomical Society,1.21552153683E-07,31643,7736,2.338,1.077,4.09,83,79,
66,Monthly Notices of the Royal Astronomical Society,1.21557521412E-07,31643,7736,2.338,1.077,4.09,84,79,
67,Electrochimica Acta,1.21827786362E-07,32042,6763,1.357,1.167,4.74,91,90,
68,Electrochimica Acta,0.000000122,32042,6763,1.357,1.167,4.74,95,90,
69,Journal of Geophysical Research,1.26594785624E-07,29514,8793,1.996,1.313,3.36,79,81,
70,Journal of Geophysical Research,1.26890555784E-07,29514,8793,1.996,1.313,3.36,83,81,
71,Journal of Geophysical Research,1.27124501614E-07,29514,8793,1.996,1.313,3.36,86,81,
72,Journal of Geophysical Research,1.27365869981E-07,29514,8793,1.996,1.313,3.36,89,81,
73,Journal of Geophysical Research,1.27450218417E-07,29514,8793,1.996,1.313,3.36,90,81,
74,Journal of Geophysical Research,1.27619109447E-07,29514,8793,1.996,1.313,3.36,92,81,
75,Journal of Geophysical Research,1.27705897855E-07,29514,8793,1.996,1.313,3.36,93,81,
76,Journal of Geophysical Research,1.27793495323E-07,29514,8793,1.996,1.313,3.36,94,81,
77,Journal of Geophysical Research,1.27881899957E-07,29514,8793,1.996,1.313,3.36,95,81,
78,Journal of Geophysical Research,0.000000128,29514,8793,1.996,1.313,3.36,97,81,
79,Organic Letters,1.37210411681E-07,30981,4899,2.964,1.218,6.32,95,94,
80,Organic Letters,1.37258304398E-07,30981,4899,2.964,1.218,6.32,96,94,
81,Organic Letters,1.37300720718E-07,30981,4899,2.964,1.218,6.32,97,94,
82,Analytical Chemistry,0.00000014,30782,5066,2.255,1.491,6.08,92,91,
83,Journal of Alloys and Compounds,1.7761447419E-07,26569,8700,0.961,1.321,3.05,89,81,
84,Journal of Alloys and Compounds,1.77805314386E-07,26569,8700,0.961,1.321,3.05,91,81,
85,Journal of Alloys and Compounds,0.000000178,26569,8700,0.961,1.321,3.05,93,81,
86,Journal of Neuroscience,1.96461939635E-07,29662,4979,4.682,1.629,5.96,90,91,
87,Bioresource Technology,1.98814740947E-07,30134,5075,2.191,1.91,5.94,89,94,
88,Chemical Reviews,1.98882112101E-07,33976,794,19.282,10.369,42.79,99,97,
89,Bioresource Technology,1.98931556004E-07,30134,5075,2.191,1.91,5.94,91,94,
90,Bioresource Technology,1.99222772271E-07,30134,5075,2.191,1.91,5.94,96,94,
91,Bioresource Technology,1.99338296374E-07,30134,5075,2.191,1.91,5.94,98,94,
92,JAMA - Journal of the American Medical Association,2.00258951478E-07,28888,4333,6.866,9.16,6.67,98,48,
93,Blood,0.000000215,28255,4075,5.842,2.479,6.93,92,76,
94,Blood,2.15360235039E-07,28255,4075,5.842,2.479,6.93,96,76,
95,Blood,2.15448906658E-07,28255,4075,5.842,2.479,6.93,97,76,
96,Journal of Applied Physics,2.26257554491E-07,20455,11907,0.632,0.815,1.72,72,64,
97,Applied Surface Science,2.34449977449E-07,24726,7343,0.951,1.225,3.37,92,82,
98,Journal of Clinical Oncology,2.43342418875E-07,28334,2803,8.883,4.894,10.11,98,71,
99,Journal of High Energy Physics,2.52240301658E-07,24845,6255,1.231,1.136,3.97,92,79,
100,BioMed Research International,2.58279083644E-07,21665,9320,0.843,0.875,2.32,69,71,
101,BioMed Research International,2.58411048863E-07,21665,9320,0.843,0.875,2.32,74,71,
102,BioMed Research International,2.58835343365E-07,21665,9320,0.843,0.875,2.32,84,71,
103,Applied Energy,2.8251987501E-07,26838,3451,3.058,2.573,7.78,98,96,
104,Applied Energy,2.82555508732E-07,26838,3451,3.058,2.573,7.78,99,96,
105,Dalton Transactions,2.84891992734E-07,23995,6239,1.243,0.931,3.85,89,87,
106,Energy and Environmental Science,2.9328461276E-07,28927,1096,12.14,4.372,26.39,99,98,
107,Journal of the American College of Cardiology,3.0207093916E-07,26325,3307,11.488,5.675,7.96,99,61,
108,International Journal of Hydrogen Energy,3.02792224367E-07,22476,6007,1.142,1.286,3.74,80,85,
109,International Journal of Hydrogen Energy,3.03700137566E-07,22476,6007,1.142,1.286,3.74,90,85,
110,International Journal of Hydrogen Energy,3.0379371452E-07,22476,6007,1.142,1.286,3.74,91,85,
111,British Medical Journal,3.09847593987E-07,16811,11298,2.687,2.978,1.49,67,24,
112,Chemical Engineering Journal,3.10916097877E-07,25604,4040,1.745,1.933,6.34,94,94,
113,Chemical Engineering Journal,0.000000311,25604,4040,1.745,1.933,6.34,95,94,
114,Chemical Engineering Journal,3.11084913765E-07,25604,4040,1.745,1.933,6.34,98,94,
115,Chemical Engineering Journal,3.11122669099E-07,25604,4040,1.745,1.933,6.34,99,94,
116,Advanced Functional Materials,0.000000342,25724,2226,4.915,2.24,11.56,98,95,
117,Advanced Functional Materials,0.000000342,25724,2226,4.915,2.24,11.56,99,95,
118,Renewable and Sustainable Energy Reviews,3.50510337278E-07,25254,2654,3.051,3.454,9.52,96,95,
119,Oncotarget,3.57302182065E-07,22807,4824,1.927,1.056,4.73,89,88,
120,Food Chemistry,3.69735182609E-07,22663,4672,1.706,2.091,4.85,90,92,
121,Food Chemistry,3.70274039255E-07,22663,4672,1.706,2.091,4.85,97,92,
122,Food Chemistry,3.70348766909E-07,22663,4672,1.706,2.091,4.85,98,92,
123,Biomaterials,3.83280606643E-07,24302,2733,2.853,1.879,8.89,95,96,
124,Biomaterials,3.83290881999E-07,24302,2733,2.853,1.879,8.89,97,96,
125,Biomaterials,3.83295988626E-07,24302,2733,2.853,1.879,8.89,98,96,
126,Langmuir,3.98099484283E-07,21458,5376,1.55,1.188,3.99,85,89,
127,Langmuir,3.98182322886E-07,21458,5376,1.55,1.188,3.99,86,89,
128,Langmuir,3.98350817563E-07,21458,5376,1.55,1.188,3.99,88,89,
129,Langmuir,3.98612964056E-07,21458,5376,1.55,1.188,3.99,91,89,
130,Langmuir,3.98692610649E-07,21458,5376,1.55,1.188,3.99,92,89,
131,Physical Review A - Atomic  Molecular  and Optical Physics,4.0350434628E-07,18558,8261,1.281,0.852,2.25,77,72,
132,Circulation,4.07758910908E-07,23803,2829,8.534,5.263,8.41,98,61,
133,Circulation,4.07784973745E-07,23803,2829,8.534,5.263,8.41,99,61,
134,Science of the Total Environment,4.34251280519E-07,21937,4308,1.621,1.849,5.09,95,91,
135,Science of the Total Environment,4.34301545837E-07,21937,4308,1.621,1.849,5.09,91,91,
136,Science of the Total Environment,4.34358133958E-07,21937,4308,1.621,1.849,5.09,88,91,
137,Sensors and Actuators  B: Chemical,4.34732174099E-07,22102,4363,1.333,1.463,5.07,93,91,
138,Sensors and Actuators  B: Chemical,4.34808773099E-07,22102,4363,1.333,1.463,5.07,94,91,
139,Sensors and Actuators  B: Chemical,4.34886164059E-07,22102,4363,1.333,1.463,5.07,95,91,
140,Sensors and Actuators  B: Chemical,0.000000435,22102,4363,1.333,1.463,5.07,96,91,
141,Sensors and Actuators  B: Chemical,4.35186707116E-07,22102,4363,1.333,1.463,5.07,99,91,
142,Inorganic Chemistry,4.35542392975E-07,21293,4592,1.774,1.198,4.64,91,89,
143,Inorganic Chemistry,4.35601678784E-07,21293,4592,1.774,1.198,4.64,96,89,
144,Journal of Chemical Physics,4.36462560101E-07,17330,8150,1.073,0.755,2.13,64,71,
145,Astronomy and Astrophysics,4.37067550397E-07,19633,5330,2.246,1.16,3.68,77,75,
146,Astronomy and Astrophysics,4.37346397082E-07,19633,5330,2.246,1.16,3.68,81,75,
147,Journal of Chemical Physics,4.38080931561E-07,17330,8150,1.073,0.755,2.13,80,71,
148,Chemistry of Materials,4.43191394928E-07,22369,2517,4.114,1.905,8.89,97,94,
149,Chemistry of Materials,4.43213993409E-07,22369,2517,4.114,1.905,8.89,98,94,
150,Chemistry of Materials,4.43234546738E-07,22369,2517,4.114,1.905,8.89,99,94,
151,Journal of Organic Chemistry,5.12714990391E-07,19194,4180,1.976,1.03,4.59,91,89,
152,Journal of Materials Chemistry C,5.36187731555E-07,19059,3707,1.806,1.28,5.14,93,91,
153,Journal of Materials Chemistry C,5.36318507074E-07,19059,3707,1.806,1.28,5.14,95,91,
154,Journal of Immunology,5.39767506939E-07,18831,3930,3.368,1.177,4.79,85,88,
155,Optics Letters,5.4925417589E-07,17422,4916,1.864,1.658,3.54,89,82,
156,Physical Review E - Statistical  Nonlinear  and Soft Matter Physics,5.60663237876E-07,14782,7562,0.993,0.896,1.95,72,68,
157,Physical Review E - Statistical  Nonlinear  and Soft Matter Physics,5.63065418189E-07,14782,7562,0.993,0.896,1.95,87,68,
158,Physical Review E - Statistical  Nonlinear  and Soft Matter Physics,5.63254279262E-07,14782,7562,0.993,0.896,1.95,88,68,
159,Journal of Physics: Conference Series,5.75638828125E-07,6924,15502,0.24,0.383,0.45,26,25,
160,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,0.00000062,20576,1617,7.342,4.551,12.72,99,92,
161,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,0.00000062,20576,1617,7.342,4.551,12.72,97,92,
162,Biosensors and Bioelectronics,6.53755463781E-07,19455,2694,2.092,1.633,7.22,95,95,
163,Biosensors and Bioelectronics,6.53905288569E-07,19455,2694,2.092,1.633,7.22,97,95,
164,Biosensors and Bioelectronics,0.000000654,19455,2694,2.092,1.633,7.22,99,95,
165,Industrial & Engineering Chemistry Research,7.42090877407E-07,16708,5390,0.945,1.139,3.1,90,79,
166,Industrial & Engineering Chemistry Research,7.42111907062E-07,16708,5390,0.945,1.139,3.1,88,79,
167,Industrial & Engineering Chemistry Research,7.42187049892E-07,16708,5390,0.945,1.139,3.1,83,79,
168,Energy,7.47465569565E-07,18313,3544,1.999,1.798,5.17,92,91,
169,Energy,7.47477039518E-07,18313,3544,1.999,1.798,5.17,93,91,
170,Cochrane Database of Systematic Reviews,7.65112723985E-07,18914,2927,3.114,3.489,6.46,98,86,
171,International Journal of Molecular Sciences,7.72812520565E-07,17106,4584,1.202,1.147,3.73,63,83,
172,International Journal of Molecular Sciences,7.73455784002E-07,17106,4584,1.202,1.147,3.73,74,83,
173,International Journal of Molecular Sciences,7.74307992103E-07,17106,4584,1.202,1.147,3.73,85,83,
174,International Journal of Molecular Sciences,7.74506753519E-07,17106,4584,1.202,1.147,3.73,87,83,
175,International Journal of Molecular Sciences,7.74609894779E-07,17106,4584,1.202,1.147,3.73,88,83,
176,International Journal of Molecular Sciences,7.74714747044E-07,17106,4584,1.202,1.147,3.73,89,83,
177,International Journal of Molecular Sciences,7.75327796733E-07,17106,4584,1.202,1.147,3.73,95,83,
178,World Journal of Gastroenterology,8.02568432893E-07,16732,4829,1.23,1.293,3.46,86,81,
179,World Journal of Gastroenterology,8.02948768898E-07,16732,4829,1.23,1.293,3.46,94,81,
180,Accounts of Chemical Research,8.21375510182E-07,20411,979,10.782,4.26,20.85,99,98,
181,Carbohydrate Polymers,8.21729079598E-07,17802,3456,1.404,1.745,5.15,93,91,
182,Carbohydrate Polymers,8.2178248677E-07,17802,3456,1.404,1.745,5.15,95,91,
183,International Journal of Cardiology,8.2267578992E-07,14392,6743,1.534,1.275,2.13,72,62,
184,IEEE Transactions on Industrial Electronics,8.37728721685E-07,18972,2050,2.742,3.696,9.25,98,96,
185,IEEE Transactions on Industrial Electronics,8.37769851465E-07,18972,2050,2.742,3.696,9.25,99,96,
186,Journal of Physical Chemistry Letters,8.55065132178E-07,18729,2291,4.583,1.68,8.18,96,91,
187,Fuel,8.71855736809E-07,17384,3547,1.744,2.179,4.9,93,90,
188,Fuel,0.000000872,17384,3547,1.744,2.179,4.9,95,90,
189,Nature Materials,8.72410504291E-07,19953,843,18.032,9.667,23.67,99,77,
190,Carbon,8.8167689106E-07,18033,2779,2.077,1.666,6.49,95,91,
191,Ceramics International,9.02243210494E-07,15423,5354,0.853,1.304,2.88,84,82,
192,Ceramics International,9.02319212626E-07,15423,5354,0.853,1.304,2.88,86,82,
193,Journal of Virology,0.000000937,16918,3829,3.052,1.131,4.42,83,90,
194,Journal of Virology,9.37199762379E-07,16918,3829,3.052,1.131,4.42,89,90,
195,Journal of Virology,9.37229924057E-07,16918,3829,3.052,1.131,4.42,90,90,
196,Ceramics International,9.37419389856E-07,15423,5354,0.853,1.304,2.88,74,82,
197,Journal of Virology,9.37669041667E-07,16918,3829,3.052,1.131,4.42,98,90,
198,Macromolecules,9.52387497006E-07,17373,3015,2.557,1.507,5.76,95,94,
199,Macromolecules,9.5239689721E-07,17373,3015,2.557,1.507,5.76,96,94,
200,Macromolecules,9.52404367055E-07,17373,3015,2.557,1.507,5.76,97,94,
201,Chemical Science,9.87311893426E-07,18145,2151,4.475,1.67,8.44,96,96,
202,Clinical Cancer Research,9.88859226672E-07,18107,2172,4.689,1.983,8.34,96,89,
203,Clinical Cancer Research,9.8886376588E-07,18107,2172,4.689,1.983,8.34,97,89,
204,IEEE Transactions on Power Electronics,1.00313982298E-06,18386,1846,2.728,3.615,9.96,99,95,
205,Nature Genetics,1.0045882012E-06,19289,926,20.899,6.62,20.83,99,79,
206,NeuroImage,1.01852896787E-06,17374,2755,3.823,1.752,6.31,97,92,
207,ACS Catalysis,1.05167742366E-06,18290,1776,4.299,2.071,10.3,92,96,
208,Methods in Molecular Biology,1.05686329826E-06,8712,11477,0.509,0.242,0.76,15,39,
209,Methods in Molecular Biology,0.000001057,8712,11477,0.509,0.242,0.76,9,39,
210,Geophysical Research Letters,1.05781853782E-06,16089,3700,2.91,1.499,4.35,96,88,
211,Journal of Physical Chemistry B,1.06422804791E-06,14843,4895,1.348,1.02,3.03,89,83,
212,Journal of Physical Chemistry B,1.06425857564E-06,14843,4895,1.348,1.02,3.03,90,83,
213,Materials and Design,1.06567979025E-06,16370,3338,1.751,2.481,4.9,91,92,
214,Journal of Physical Chemistry B,0.000001066,14843,4895,1.348,1.02,3.03,76,83,
215,Materials and Design,1.06606371192E-06,16370,3338,1.751,2.481,4.9,96,92,
216,Materials and Design,1.06611633756E-06,16370,3338,1.751,2.481,4.9,97,92,
217,Journal of Clinical Investigation,1.066267305E-06,17838,1624,8.074,2.787,10.98,99,85,
218,Journal of Agricultural and Food Chemistry,0.00000107,15050,4361,1.291,1.344,3.45,85,87,
219,Journal of Agricultural and Food Chemistry,1.07021346352E-06,15050,4361,1.291,1.344,3.45,93,87,
220,Neuron,1.11516547682E-06,17361,1560,11.116,3.223,11.13,95,84,
221,Energy Conversion and Management,1.11546759758E-06,16364,2709,2.287,2.065,6.04,92,93,
222,Energy Conversion and Management,1.11562403694E-06,16364,2709,2.287,2.065,6.04,96,93,
223,Energy Conversion and Management,1.11566562375E-06,16364,2709,2.287,2.065,6.04,97,93,
224,Energy Conversion and Management,1.11569973114E-06,16364,2709,2.287,2.065,6.04,98,93,
225,Biochemical and Biophysical Research Communications,1.15331242959E-06,13556,5404,1.091,0.688,2.51,47,78,
226,Biochemical and Biophysical Research Communications,1.15338792411E-06,13556,5404,1.091,0.688,2.51,48,78,
227,Biochemical and Biophysical Research Communications,1.15416240695E-06,13556,5404,1.091,0.688,2.51,60,78,
228,Biochemical and Biophysical Research Communications,1.15508756556E-06,13556,5404,1.091,0.688,2.51,73,78,
229,Cell Reports,1.15869388509E-06,16863,2007,8.012,1.749,8.4,96,94,
230,Cancer Research,1.19471852839E-06,16895,1977,4.753,1.986,8.55,97,93,
231,Materials Letters,0.0000012,13511,5375,0.757,0.935,2.51,79,79,
232,Materials Letters,1.20023948659E-06,13511,5375,0.757,0.935,2.51,82,79,
233,Materials Letters,1.20042288962E-06,13511,5375,0.757,0.935,2.51,84,79,
234,Materials Letters,1.20059174947E-06,13511,5375,0.757,0.935,2.51,86,79,
235,PLoS Genetics,0.000001204,15804,2664,5.182,1.523,5.93,90,89,
236,PLoS Genetics,0.000001204,15804,2664,5.182,1.523,5.93,91,89,
237,PLoS Genetics,0.000001204,15804,2664,5.182,1.523,5.93,92,89,
238,PLoS Genetics,0.000001204,15804,2664,5.182,1.523,5.93,93,89,
239,PLoS Genetics,1.2040518197E-06,15804,2664,5.182,1.523,5.93,96,89,
240,BMC Genomics,1.23050469644E-06,14757,3647,2.065,1.122,4.05,81,86,
241,BMC Genomics,1.2308104685E-06,14757,3647,2.065,1.122,4.05,87,86,
242,AIP Conference Proceedings,1.23350880432E-06,3153,14839,0.163,0.236,0.21,8,14,
243,The Lancet Oncology,1.23413771116E-06,16717,1633,13.39,9.409,10.24,98,54,
244,Bioinformatics,0.000001235,15407,2398,4.92,2.099,6.42,91,79,
245,Bioinformatics,1.23513095604E-06,15407,2398,4.92,2.099,6.42,95,79,
246,Bioinformatics,1.23515657482E-06,15407,2398,4.92,2.099,6.42,96,79,
247,Bioinformatics,1.23518235927E-06,15407,2398,4.92,2.099,6.42,97,79,
248,Bioinformatics,1.23520830888E-06,15407,2398,4.92,2.099,6.42,98,79,
249,Bioinformatics,1.23522932825E-06,15407,2398,4.92,2.099,6.42,99,79,
250,European Heart Journal,0.000001236,15996,2157,6.897,4.856,7.42,98,56,
251,Chemosphere,1.23627332411E-06,14919,3399,1.417,1.606,4.39,83,89,
252,Chemosphere,1.23646835211E-06,14919,3399,1.417,1.606,4.39,91,89,
253,Journal of Cleaner Production,1.23659666954E-06,15126,2594,1.615,2.382,5.83,88,92,
254,Chemosphere,1.23667783604E-06,14919,3399,1.417,1.606,4.39,97,89,
255,Journal of Cleaner Production,1.23687465811E-06,15126,2594,1.615,2.382,5.83,96,92,
256,Journal of Cleaner Production,1.23691959254E-06,15126,2594,1.615,2.382,5.83,97,92,
257,Journal of Cleaner Production,0.000001237,15126,2594,1.615,2.382,5.83,98,92,
258,Applied Catalysis B: Environmental,1.23752837001E-06,16430,1855,2.583,2.12,8.86,99,96,
259,Applied Catalysis B: Environmental,1.23772334028E-06,16430,1855,2.583,2.12,8.86,96,96,
260,Applied Catalysis B: Environmental,1.2382053984E-06,16430,1855,2.583,2.12,8.86,89,96,
261,Neurology,1.23871860982E-06,14018,3679,3.539,2.434,3.81,88,57,
262,Nature Nanotechnology,1.24007606707E-06,16825,770,18.746,8.299,21.85,99,76,
263,Journal of Hazardous Materials,1.24223864684E-06,15173,2405,1.727,2.045,6.31,93,92,
264,Journal of Hazardous Materials,1.24225863879E-06,15173,2405,1.727,2.045,6.31,95,92,
265,Journal of Hazardous Materials,1.24226910988E-06,15173,2405,1.727,2.045,6.31,96,92,
266,Journal of Hazardous Materials,1.24228804138E-06,15173,2405,1.727,2.045,6.31,98,92,
267,Journal of Hazardous Materials,1.24229534792E-06,15173,2405,1.727,2.045,6.31,99,92,
268,PLoS Pathogens,1.24568092726E-06,15179,2349,4.466,1.635,6.46,91,91,
269,PLoS Pathogens,1.24572704312E-06,15179,2349,4.466,1.635,6.46,92,91,
270,PLoS Pathogens,1.24577457278E-06,15179,2349,4.466,1.635,6.46,93,91,
271,PLoS Pathogens,1.24587239834E-06,15179,2349,4.466,1.635,6.46,95,91,
272,PLoS Pathogens,1.24592416907E-06,15179,2349,4.466,1.635,6.46,96,91,
273,PLoS Pathogens,0.000001246,15179,2349,4.466,1.635,6.46,97,91,
274,Construction and Building Materials,1.25866068686E-06,13790,3653,1.49,2.339,3.77,87,87,
275,Construction and Building Materials,1.2591949023E-06,13790,3653,1.49,2.339,3.77,95,87,
276,Construction and Building Materials,1.25925646172E-06,13790,3653,1.49,2.339,3.77,96,87,
277,Journal of Clinical Endocrinology and Metabolism,1.26655326211E-06,14504,2871,2.768,1.859,5.05,91,83,
278,Journal of Clinical Endocrinology and Metabolism,1.26656208184E-06,14504,2871,2.768,1.859,5.05,92,83,
279,Journal of Clinical Endocrinology and Metabolism,1.26658632802E-06,14504,2871,2.768,1.859,5.05,97,83,
280,Journal of Clinical Endocrinology and Metabolism,1.2665917795E-06,14504,2871,2.768,1.859,5.05,98,83,
281,Water Research,1.30681561853E-06,15238,2035,2.629,2.558,7.49,99,95,
282,Water Research,1.30683546974E-06,15238,2035,2.629,2.558,7.49,98,95,
283,Water Research,1.30685818645E-06,15238,2035,2.629,2.558,7.49,97,95,
284,Nature Medicine,1.31084094344E-06,16046,1112,14.205,5.506,14.43,99,68,
285,Diabetes Care,1.31369782678E-06,15135,2023,5.39,3.693,7.48,99,76,
286,Diabetes Care,1.31372174465E-06,15135,2023,5.39,3.693,7.48,98,76,
287,Energy Procedia,1.36632140384E-06,9201,7966,0.467,0.586,1.16,73,51,
288,Antimicrobial Agents and Chemotherapy,1.36719289547E-06,13744,3265,2.21,1.312,4.21,94,87,
289,Antimicrobial Agents and Chemotherapy,1.367365701E-06,13744,3265,2.21,1.312,4.21,88,87,
290,Sensors,1.36846474214E-06,12406,4467,0.576,1.393,2.78,84,71,
291,Sensors,1.36848818542E-06,12406,4467,0.576,1.393,2.78,83,71,
292,Sensors,1.36883501933E-06,12406,4467,0.576,1.393,2.78,73,71,
293,Sensors,0.000001369,12406,4467,0.576,1.393,2.78,67,71,
294,Journal of Membrane Science,1.39777838686E-06,14434,2353,2.062,1.72,6.13,94,93,
295,Journal of Membrane Science,1.39780116145E-06,14434,2353,2.062,1.72,6.13,81,93,
296,Materials Science & Engineering A: Structural Materials: Properties  Microstructure and Processing,1.44588949047E-06,12849,3786,1.666,1.832,3.39,86,86,
297,Materials Science & Engineering A: Structural Materials: Properties  Microstructure and Processing,0.000001446,12849,3786,1.666,1.832,3.39,89,86,
298,Materials Science & Engineering A: Structural Materials: Properties  Microstructure and Processing,1.44610485762E-06,12849,3786,1.666,1.832,3.39,93,86,
299,Materials Science & Engineering A: Structural Materials: Properties  Microstructure and Processing,1.4461289075E-06,12849,3786,1.666,1.832,3.39,94,86,
300,Nature Biotechnology,0.000001451,15283,1161,20.253,6.303,13.16,99,59,
